id;nordre;info_demande;reponse;date_demande;date_reponse
1;43479;Credit Card Account Manager;cultivate hacking;2020-10-22;2020-10-23
2;57392;scalable Pizza;Dynamic Ecuador AI;2020-10-23;2020-10-22
3;15562;maroon;Licensed innovative plum;2020-10-23;2020-10-22
4;73393;Salad Illinois;interface Clothing synthesize;2020-10-22;2020-10-23
5;73411;AI;application Streamlined Saudi Arabia;2020-10-22;2020-10-22
6;17496;Route supply-chains deploy;azure mobile;2020-10-22;2020-10-22
7;83055;Facilitator;Investment Account distributed Tokelau;2020-10-23;2020-10-23
8;49348;Money Market Account Personal Loan Account;invoice;2020-10-23;2020-10-23
9;83268;hacking invoice algorithm;application IB Cross-group;2020-10-23;2020-10-22
10;16042;Orchestrator;Digitized;2020-10-23;2020-10-22
