id;code;libelle;rtr
1;innovate;envisioneer Lari adapter;European Unit of Account 17(E.U.A.-17)
2;Unions Checking Account;revolutionize intuitive;Comoro Franc
3;Norway Congolese Franc;Cambridgeshire SAS Investment Account;lime Handcrafted Plastic Cheese Licensed Cotton Bacon
4;Consultant;index Brook;Svalbard & Jan Mayen Islands payment
5;Handmade;best-of-breed;Estates panel Legacy
6;Director RSS;multi-tasking Nevada hacking;International
7;bottom-line Sausages Internal;salmon Universal;1080p Program Tasty Fresh Chair
8;Hat client-driven mobile;Table Ergonomic Frozen Bacon;Reduced Bedfordshire
9;Oval architect;expedite;Borders Roads Gloves
10;compressing orange;budgetary management yellow;Principal zero tolerance methodical
